30-Aug-05;9922.30
29-Aug-05;9938.50
26-Aug-05;9904.80
25-Aug-05;9983.20
24-Aug-05;10078.90
23-Aug-05;10104.10
22-Aug-05;10174.80
19-Aug-05;10132.90
18-Aug-05;10037.90
17-Aug-05;10094.10
16-Aug-05;10139.80
15-Aug-05;10184.90
12-Aug-05;10187.20
11-Aug-05;10222.10
10-Aug-05;10229.20
9-Aug-05;10145.60
8-Aug-05;10115.50
5-Aug-05;10045.40
4-Aug-05;10074.30
3-Aug-05;10149.70
2-Aug-05;10113.90
1-Aug-05;10068.90
29-jul-05;10115.60
28-jul-05;10128.80
27-jul-05;10088.70
26-jul-05;10043.30
25-jul-05;10017.10
22-jul-05;10018.80
21-jul-05;10021.50
20-jul-05;10007.00
19-jul-05;10045.00
18-jul-05;9961.00
15-jul-05;9943.80
14-jul-05;9965.20
13-jul-05;9937.80
12-jul-05;9873.40
11-jul-05;9876.30
08-jul-05;9793.20
07-jul-05;9644.40
06-jul-05;9832.50
05-jul-05;9807.40
04-jul-05;9815.00
01-jul-05;9829.10
30-jun-05;9783.20
29-jun-05;9769.20
28-jun-05;9682.50
27-jun-05;9622.90
24-jun-05;9677.40
23-jun-05;9769.60
22-jun-05;9726.20
21-jun-05;9712.50
20-jun-05;9659.50
17-jun-05;9682.30
16-jun-05;9624.70
15-jun-05;9563.60
14-jun-05;9614.40
13-jun-05;9579.20
10-jun-05;9561.50
09-jun-05;9494.00
08-jun-05;9487.70
07-jun-05;9535.50
06-jun-05;9449.40
03-jun-05;9497.70
02-jun-05;9539.70
01-jun-05;9550.80
31-may-05;9427.10
30-may-05;9466.80
27-may-05;9381.50
26-may-05;9417.90
25-may-05;9351.30
24-may-05;9372.40
23-may-05;9397.00
20-may-05;9368.50
19-may-05;9400.10
18-may-05;9364.20
17-may-05;9213.30
16-may-05;9217.70
13-may-05;9222.50
12-may-05;9213.10
11-may-05;9149.90
10-may-05;9146.10
09-may-05;9223.50
06-may-05;9263.10
05-may-05;9235.50
04-may-05;9195.70
03-may-05;9168.30
02-may-05;9119.90
29-Apr-05;9001.60
28-Apr-05;8985.40
27-Apr-05;8985.00
26-Apr-05;9083.70
25-Apr-05;9106.20
22-Apr-05;9096.40
21-Apr-05;9018.70
20-Apr-05;9016.60
19-Apr-05;9046.20
18-Apr-05;9025.80
15-Apr-05;9155.20
14-Apr-05;9364.50
13-Apr-05;9373.90
12-Apr-05;9303.10
11-Apr-05;9334.80
8-Apr-05;9385.80
7-Apr-05;9392.40
6-Apr-05;9382.10
5-Apr-05;9298.10
4-Apr-05;9206.00
1-Apr-05;9289.50
31-mar-05;9258.80
30-mar-05;9280.10
29-mar-05;9324.10
24-mar-05;9309.30
23-mar-05;9252.10
22-mar-05;9299.20
21-mar-05;9225.40
18-mar-05;9263.90
17-mar-05;9235.80
16-mar-05;9201.20
15-mar-05;9354.70
14-mar-05;9296.50
11-mar-05;9330.20
10-mar-05;9319.40
09-mar-05;9410.30
08-mar-05;9480.20
07-mar-05;9545.90
04-mar-05;9538.00
03-mar-05;9418.80
02-mar-05;9443.60
01-mar-05;9472.30
28-feb-05;9391.00
25-feb-05;9439.70
24-feb-05;9352.60
23-feb-05;9354.10
22-feb-05;9350.30
21-feb-05;9464.60
18-feb-05;9570.10
17-feb-05;9585.70
16-feb-05;9575.60
15-feb-05;9634.30
14-feb-05;9585.00
11-feb-05;9588.30
10-feb-05;9451.20
